0:0:0:0:0:0:0:1 - - [24/Nov/2024:12:06:57 +0530] "GET /metro-application HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Nov/2024:12:07:00 +0530] "GET /metro-application/ HTTP/1.1" 200 4941
0:0:0:0:0:0:0:1 - - [24/Nov/2024:12:07:01 +0530] "GET /favicon.ico HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [24/Nov/2024:12:07:04 +0530] "GET /metro-application/getLoginPage HTTP/1.1" 200 4032
0:0:0:0:0:0:0:1 - - [24/Nov/2024:12:07:06 +0530] "GET /metro-application/getUserLogin? HTTP/1.1" 200 7478
0:0:0:0:0:0:0:1 - - [24/Nov/2024:12:07:13 +0530] "GET /metro-application/isUserEmailExists?emailId=raj@gmail.com HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [24/Nov/2024:12:07:14 +0530] "GET /metro-application/getUserOtpDetails?emailId=raj%40gmail.com HTTP/1.1" 500 11393
0:0:0:0:0:0:0:1 - - [24/Nov/2024:12:07:49 +0530] "GET /metro-application/getUserOtpDetails?emailId=raj%40gmail.com HTTP/1.1" 200 7504
0:0:0:0:0:0:0:1 - - [24/Nov/2024:12:08:01 +0530] "POST /metro-application/verifyUserOtp HTTP/1.1" 200 8289
0:0:0:0:0:0:0:1 - - [24/Nov/2024:12:08:02 +0530] "GET /metro-application/getImage/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [24/Nov/2024:12:08:02 +0530] "GET /metro-application/getImage/temp.jpg HTTP/1.1" 200 37230
0:0:0:0:0:0:0:1 - - [24/Nov/2024:12:08:37 +0530] "POST /metro-application/verifyUserOtp HTTP/1.1" 200 8294
0:0:0:0:0:0:0:1 - - [24/Nov/2024:12:08:37 +0530] "GET /metro-application/getImage/temp.jpg HTTP/1.1" 200 37230
0:0:0:0:0:0:0:1 - - [24/Nov/2024:12:08:37 +0530] "GET /metro-application/getImage/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [24/Nov/2024:12:08:47 +0530] "POST /metro-application/verifyUserOtp HTTP/1.1" 200 8294
0:0:0:0:0:0:0:1 - - [24/Nov/2024:12:08:47 +0530] "GET /metro-application/getImage/temp.jpg HTTP/1.1" 200 37230
0:0:0:0:0:0:0:1 - - [24/Nov/2024:12:08:47 +0530] "GET /metro-application/getImage/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [24/Nov/2024:12:09:10 +0530] "POST /metro-application/verifyUserOtp HTTP/1.1" 200 8301
0:0:0:0:0:0:0:1 - - [24/Nov/2024:12:09:10 +0530] "GET /metro-application/getImage/temp.jpg HTTP/1.1" 200 37230
0:0:0:0:0:0:0:1 - - [24/Nov/2024:12:09:10 +0530] "GET /metro-application/getImage/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [24/Nov/2024:12:09:40 +0530] "POST /metro-application/verifyUserOtp HTTP/1.1" 200 8313
0:0:0:0:0:0:0:1 - - [24/Nov/2024:12:09:40 +0530] "GET /metro-application/getImage/temp.jpg HTTP/1.1" 200 37230
0:0:0:0:0:0:0:1 - - [24/Nov/2024:12:09:40 +0530] "GET /metro-application/getImage/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [24/Nov/2024:12:09:56 +0530] "POST /metro-application/verifyUserOtp HTTP/1.1" 200 8312
0:0:0:0:0:0:0:1 - - [24/Nov/2024:12:09:56 +0530] "GET /metro-application/getImage/temp.jpg HTTP/1.1" 200 37230
0:0:0:0:0:0:0:1 - - [24/Nov/2024:12:09:56 +0530] "GET /metro-application/getImage/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [24/Nov/2024:12:10:11 +0530] "POST /metro-application/verifyUserOtp HTTP/1.1" 200 8312
